# AI-hint: Parity table for the WT padding grammar: mios_toml.edge_insets() and the Rust edge-status parser must give these answers.
# Columns: input<TAB>left<TAB>top<TAB>right<TAB>bottom, or input<TAB>ERR. <empty> stands for the empty string, <LF> for a newline character.
0	0	0	0	0
3	3	3	3	3
07	7	7	7	7
3, 1	3	1	3	1
3,1	3	1	3	1
3 ,1	3	1	3	1
3, 1, 3, 1	3	1	3	1
4, 2, 6, 8	4	2	6	8
8, 8, 8, 8	8	8	8	8
<empty>	ERR
-1	ERR
1.5	ERR
0.0	ERR
1, 2, 3	ERR
1, 2, 3, 4, 5	ERR
 3	ERR
3 	ERR
a	ERR
3;1	ERR
0<LF>	ERR
3, 1<LF>	ERR
<LF>0	ERR
